match_id,isResult,h,a,goals,home_xg,datetime,forecast,season,source
16376,True,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '1.88818', 'a': '1.02385'}",2021-08-13 19:00:00,"{'w': '0.6289', 'd': '0.2287', 'l': '0.1424'}",2021-22,understat_league
16377,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '5', 'a': '1'}","{'h': '1.64248', 'a': '0.568342'}",2021-08-14 11:30:00,"{'w': '0.6618', 'd': '0.2327', 'l': '0.1055'}",2021-22,understat_league
16378,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '2'}","{'h': '1.79548', 'a': '1.6853'}",2021-08-14 14:00:00,"{'w': '0.3894', 'd': '0.2877', 'l': '0.3229'}",2021-22,understat_league
16379,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '3', 'a': '0'}","{'h': '1.18709', 'a': '0.321701'}",2021-08-14 14:00:00,"{'w': '0.6405', 'd': '0.2822', 'l': '0.0773'}",2021-22,understat_league
16380,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '2.38863', 'a': '0.580601'}",2021-08-14 14:00:00,"{'w': '0.8359', 'd': '0.1234', 'l': '0.0407'}",2021-22,understat_league
16381,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '0.668082', 'a': '1.32714'}",2021-08-14 14:00:00,"{'w': '0.1683', 'd': '0.275', 'l': '0.5567'}",2021-22,understat_league
16382,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '2'}","{'h': '1.35036', 'a': '1.13718'}",2021-08-14 14:00:00,"{'w': '0.3877', 'd': '0.3205', 'l': '0.2918'}",2021-22,understat_league
16383,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '3'}","{'h': '1.3333', 'a': '1.78728'}",2021-08-14 16:30:00,"{'w': '0.2578', 'd': '0.2601', 'l': '0.4821'}",2021-22,understat_league
16384,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '4'}","{'h': '1.67926', 'a': '3.00939'}",2021-08-15 13:00:00,"{'w': '0.1222', 'd': '0.1825', 'l': '0.6953'}",2021-22,understat_league
16385,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '1.06014', 'a': '2.10585'}",2021-08-15 15:30:00,"{'w': '0.143', 'd': '0.2222', 'l': '0.6348'}",2021-22,understat_league
