match_id,isResult,h,a,goals,home_xg,datetime,forecast,season,source
11643,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '4', 'a': '1'}","{'h': '2.23456', 'a': '0.842407'}",2019-08-09 20:00:00,"{'w': '0.7377', 'd': '0.1732', 'l': '0.0891'}",2019-20,understat_league
11644,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '5'}","{'h': '1.2003', 'a': '3.18377'}",2019-08-10 12:30:00,"{'w': '0.0452', 'd': '0.1166', 'l': '0.8382'}",2019-20,understat_league
11645,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.34099', 'a': '1.59864'}",2019-08-10 15:00:00,"{'w': '0.2083', 'd': '0.3923', 'l': '0.3994'}",2019-20,understat_league
11646,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '0'}","{'h': '0.909241', 'a': '1.08752'}",2019-08-10 15:00:00,"{'w': '0.266', 'd': '0.3442', 'l': '0.3898'}",2019-20,understat_league
11647,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '0'}","{'h': '0.87159', 'a': '1.2246'}",2019-08-10 15:00:00,"{'w': '0.2427', 'd': '0.3231', 'l': '0.4342'}",2019-20,understat_league
11648,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '3'}","{'h': '0.670022', 'a': '0.855516'}",2019-08-10 15:00:00,"{'w': '0.2434', 'd': '0.362', 'l': '0.3946'}",2019-20,understat_league
11649,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '1'}","{'h': '2.57262', 'a': '0.639599'}",2019-08-10 17:30:00,"{'w': '0.822', 'd': '0.1273', 'l': '0.0507'}",2019-20,understat_league
11650,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.380551', 'a': '1.13309'}",2019-08-11 14:00:00,"{'w': '0.1052', 'd': '0.3057', 'l': '0.5891'}",2019-20,understat_league
11651,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '0.543759', 'a': '0.812949'}",2019-08-11 14:00:00,"{'w': '0.2174', 'd': '0.3819', 'l': '0.4007'}",2019-20,understat_league
11652,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '4', 'a': '0'}","{'h': '2.37442', 'a': '1.09534'}",2019-08-11 16:30:00,"{'w': '0.7148', 'd': '0.1782', 'l': '0.107'}",2019-20,understat_league
11653,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '1'}","{'h': '1.1644', 'a': '1.39172'}",2019-08-17 12:30:00,"{'w': '0.2899', 'd': '0.2836', 'l': '0.4265'}",2019-20,understat_league
11654,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.65069', 'a': '1.62777'}",2019-08-17 15:00:00,"{'w': '0.3658', 'd': '0.2724', 'l': '0.3618'}",2019-20,understat_league
11655,True,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.40461', 'a': '1.00856'}",2019-08-17 15:00:00,"{'w': '0.7183', 'd': '0.179', 'l': '0.1027'}",2019-20,understat_league
11656,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '0'}","{'h': '0.832913', 'a': '1.17279'}",2019-08-17 15:00:00,"{'w': '0.231', 'd': '0.322', 'l': '0.447'}",2019-20,understat_league
11657,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '2.09572', 'a': '0.920429'}",2019-08-17 15:00:00,"{'w': '0.68', 'd': '0.1975', 'l': '0.1225'}",2019-20,understat_league
11658,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '2.14047', 'a': '1.52022'}",2019-08-17 15:00:00,"{'w': '0.5327', 'd': '0.2278', 'l': '0.2395'}",2019-20,understat_league
11659,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '3.20076', 'a': '0.074542'}",2019-08-17 17:30:00,"{'w': '0.9674', 'd': '0.0301', 'l': '0.0025'}",2019-20,understat_league
11660,True,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '1.84778', 'a': '0.241912'}",2019-08-18 14:00:00,"{'w': '0.8326', 'd': '0.1408', 'l': '0.0266'}",2019-20,understat_league
11661,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '1.22629', 'a': '0.947941'}",2019-08-18 16:30:00,"{'w': '0.4391', 'd': '0.3008', 'l': '0.2601'}",2019-20,understat_league
11662,True,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.307356', 'a': '1.14332'}",2019-08-19 20:00:00,"{'w': '0.0594', 'd': '0.2597', 'l': '0.6809'}",2019-20,understat_league
11663,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '0'}","{'h': '0.855926', 'a': '1.25668'}",2019-08-23 20:00:00,"{'w': '0.2213', 'd': '0.3058', 'l': '0.4729'}",2019-20,understat_league
11664,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '3'}","{'h': '1.07904', 'a': '1.89428'}",2019-08-24 12:30:00,"{'w': '0.1759', 'd': '0.2595', 'l': '0.5646'}",2019-20,understat_league
11665,True,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '0.654318', 'a': '0.704879'}",2019-08-24 15:00:00,"{'w': '0.2916', 'd': '0.4017', 'l': '0.3067'}",2019-20,understat_league
11666,True,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '2'}","{'h': '0.997711', 'a': '2.07795'}",2019-08-24 15:00:00,"{'w': '0.1192', 'd': '0.2115', 'l': '0.6693'}",2019-20,understat_league
11667,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '3'}","{'h': '2.29348', 'a': '3.45768'}",2019-08-24 15:00:00,"{'w': '0.1537', 'd': '0.1778', 'l': '0.6685'}",2019-20,understat_league
11669,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '2.23561', 'a': '0.676993'}",2019-08-24 15:00:00,"{'w': '0.7755', 'd': '0.1616', 'l': '0.0629'}",2019-20,understat_league
